capturing 60s on Command|8:Command|8 MIDI 1 24:0 ...
note_on n=5 v=64                 -> FaderTouchEvent(fader=0, touched=True)
cc c=8 v=12                      -> FaderMoveEvent(fader=0, value=12, value10=97)
cc c=16 v=11                     -> FaderMoveEvent(fader=0, value=11, value10=90)
cc c=24 v=10                     -> FaderMoveEvent(fader=0, value=10, value10=83)
cc c=32 v=9                      -> FaderMoveEvent(fader=0, value=9, value10=76)
cc c=40 v=8                      -> FaderMoveEvent(fader=0, value=8, value10=69)
cc c=48 v=7                      -> FaderMoveEvent(fader=0, value=7, value10=62)
cc c=56 v=6                      -> FaderMoveEvent(fader=0, value=6, value10=55)
cc c=0 v=6                       -> FaderMoveEvent(fader=0, value=6, value10=48)
cc c=8 v=5                       -> FaderMoveEvent(fader=0, value=5, value10=41)
cc c=16 v=4                      -> FaderMoveEvent(fader=0, value=4, value10=34)
cc c=24 v=3                      -> FaderMoveEvent(fader=0, value=3, value10=27)
cc c=40 v=2                      -> FaderMoveEvent(fader=0, value=2, value10=21)
cc c=0 v=2                       -> FaderMoveEvent(fader=0, value=2, value10=16)
cc c=32 v=1                      -> FaderMoveEvent(fader=0, value=1, value10=12)
cc c=8 v=1                       -> FaderMoveEvent(fader=0, value=1, value10=9)
cc c=0 v=0                       -> FaderMoveEvent(fader=0, value=0, value10=0)
note_on n=5 v=0                  -> FaderTouchEvent(fader=0, touched=False)
note_on n=5 v=65                 -> FaderTouchEvent(fader=1, touched=True)
cc c=57 v=0                      -> FaderMoveEvent(fader=1, value=0, value10=7)
cc c=1 v=0                       -> FaderMoveEvent(fader=1, value=0, value10=0)
cc c=57 v=0                      -> FaderMoveEvent(fader=1, value=0, value10=7)
cc c=25 v=1                      -> FaderMoveEvent(fader=1, value=1, value10=11)
cc c=49 v=1                      -> FaderMoveEvent(fader=1, value=1, value10=14)
cc c=9 v=2                       -> FaderMoveEvent(fader=1, value=2, value10=17)
cc c=33 v=2                      -> FaderMoveEvent(fader=1, value=2, value10=20)
cc c=57 v=2                      -> FaderMoveEvent(fader=1, value=2, value10=23)
cc c=17 v=3                      -> FaderMoveEvent(fader=1, value=3, value10=26)
cc c=49 v=3                      -> FaderMoveEvent(fader=1, value=3, value10=30)
